id;archive;client_base_id;manager_trade_do
1;0;1160;Вишнякова
2;0;3994;Чихунова
4;0;5511;Гладкая
5;0;4308;Гладкая
6;0;3754;Чихунова
7;0;6306;Чихунова
11;0;3773;Гладкая
12;0;3529;Чихунова
13;0;3820;Чихунова
14;0;5844;Чихунова
17;0;3411;Вишнякова
18;0;2413;Чихунова
19;0;3757;Балакина
20;0;5581;Чихунова
25;0;7411;Гладкая
27;0;2405;Гладкая
29;0;3729;Вишнякова
31;0;3682;Вишнякова
32;0;2545;Балакина
33;0;2591;Балакина
35;0;4090;Гладкая
36;0;3974;Чихунова
37;0;5955;Чихунова
38;0;5953;Балакина
42;0;3776;Гладкая
43;0;5605;Гладкая
44;0;2567;Гладкая
45;0;2413;Чихунова
46;0;4091;Гладкая
47;0;2135;Балакина
49;0;4088;Гладкая
50;0;6093;Вишнякова
51;0;3663;Гладкая
52;0;2529;Балакина
53;0;6247;Балакина
54;0;2575;Чихунова
55;0;4450;Гладкая
56;0;3481;Чихунова
57;0;3338;Балакина
58;0;3664;Гладкая
59;0;2406;Гладкая
63;0;3328;Чихунова
64;0;2566;Гладкая
65;0;6250;Гладкая
66;0;3858;Балакина
67;0;5613;Балакина
68;0;3779;Вишнякова
69;0;4089;Гладкая
70;0;3730;Гладкая
71;0;3935;Гладкая
72;0;2425;Вишнякова
73;0;3767;Гладкая
74;0;6272;Гладкая
75;0;3751;Чихунова
76;0;3419;Гладкая
77;0;2729;Балакина
78;0;2459;Балакина
79;0;3916;Чихунова
80;0;863;Гладкая
81;0;3245;Гладкая
83;0;3476;Чихунова
84;0;4579;Чихунова
87;0;2450;Гладкая
88;0;7420;Балакина
89;0;2530;Вишнякова
90;0;3931;Гладкая
91;0;3462;Балакина
93;0;3711;Гладкая
95;0;3890;Гладкая
96;0;7564;Гладкая
97;0;4138;Гладкая
98;0;6227;Балакина
100;0;7483;Гладкая
101;0;2486;Балакина
102;0;7590;Гладкая
103;0;7597;Гладкая
104;0;2408;Гладкая
105;0;3713;Гладкая
106;0;5612;Балакина
107;0;2522;Балакина
108;0;7587;Гладкая
109;0;7429;Гладкая
110;0;7424;Чихунова
111;0;2473;Балакина
112;0;2485;Гладкая
113;0;7609;Гладкая
114;0;7635;Гладкая
115;0;7549;Гладкая
116;0;7480;Гладкая
118;0;4002;Балакина
119;0;3413;Балакина
120;0;3476;Чихунова
121;0;6091;Гладкая
122;0;6320;Балакина
123;0;3921;Гладкая
124;0;7605;Гладкая
125;0;7636;Гладкая
126;0;3920;Гладкая
127;0;3852;Вишнякова
130;0;5816;Гладкая
131;0;7610;Гладкая
132;0;7740;Гладкая
133;0;1685;Гладкая
134;0;1928;Грачев
135;0;3336;Балакина
136;0;4335;Гладкая
137;0;7567;Гладкая
138;0;7641;Гладкая
139;0;3928;Гладкая
140;0;3512;Гладкая
141;0;7634;Гладкая
147;0;4336;Грачев
148;0;7592;Гладкая
149;0;7460;Гладкая
150;0;7644;Гладкая
151;0;7433;Гладкая
152;0;7687;Гладкая
153;0;3924;Гладкая
154;0;7847;Чихунова
155;0;3420;Гладкая
156;0;4103;Вишнякова
157;0;7619;Гладкая
158;0;7612;Гладкая
159;0;7491;Гладкая
160;0;7823;Балакина
161;0;7407;Гладкая
162;0;3485;Гладкая
165;0;3650;Гладкая
166;0;7633;Гладкая
167;0;3713;Гладкая
168;0;7435;Гладкая
169;0;7790;Вишнякова
170;0;847;Гладкая
171;0;2145;Гладкая
172;0;3767;Гладкая
173;0;7978;Чихунова
175;0;2392;Гладкая
176;0;2716;Гладкая
177;0;3884;Чихунова
178;0;6299;Гладкая
179;0;2743;Грачев
180;0;7475;Гладкая
181;0;7791;Вишнякова
182;0;7686;Гладкая
183;0;2713;Вишнякова
184;0;8133;Чихунова
185;0;7434;Гладкая
186;0;6248;Грачев
187;0;7691;Гладкая
188;0;3638;Гладкая
189;0;3640;Гладкая
190;0;940;Гладкая
191;0;8004;Чихунова
192;0;4536;Балакина
193;0;7949;Чихунова
194;0;6262;Балакина
195;0;2719;Гладкая
196;0;7658;Гладкая
197;0;7724;Гладкая
198;0;7657;Гладкая
199;0;971;Гладкая
200;0;8005;Чихунова
201;0;7838;Балакина
202;0;7866;Гладкая
203;0;7500;Гладкая
204;0;8274;Чихунова
205;0;7467;Чихунова
206;0;7738;Гладкая
207;0;7739;Гладкая
208;0;2360;Чихунова
209;0;8116;Чихунова
210;0;4281;Балакина
211;0;7812;Балакина
212;0;7674;Гладкая
213;0;2359;Чихунова
214;0;5588;Грачев
215;0;7961;Чихунова
216;0;4005;Гладкая
217;0;7452;Чихунова
218;0;3657;Гладкая
219;0;7637;Гладкая
220;0;7533;Чихунова
223;0;8013;Чихунова
224;0;3561;Чихунова
225;0;3575;Гладкая
226;0;7744;Гладкая
229;0;8368;Гладкая
230;0;7846;Балакина
231;0;7846;Балакина
232;0;4004;Гладкая
233;0;4389;Балакина
234;0;5174;Чихунова
235;0;3736;Чихунова
237;0;8000;Чихунова
238;0;7952;Чихунова
239;0;8254;Гладкая
240;0;7558;Гладкая
241;0;6316;Чихунова
242;0;7995;Чихунова
243;0;8532;Грачев
244;0;5609;Чихунова
245;0;7695;Гладкая
248;0;7947;Чихунова
249;0;4141;Гладкая
250;0;7466;Гладкая
251;0;8018;Чихунова
252;0;6308;Грачев
253;0;3495;Гладкая
254;0;6305;Грачев
255;0;2753;Чихунова
256;0;8329;Чихунова
257;0;3858;Балакина
258;0;8439;Гладкая
259;0;8442;Гладкая
260;0;7608;Гладкая
261;0;8444;Гладкая
262;0;7468;Чихунова
263;0;4149;Балакина
264;0;3619;Вишнякова
266;0;4342;Балакина
267;0;3754;Чихунова
268;0;7495;Чихунова
269;0;4104;Балакина
270;0;4362;Грачев
271;0;4136;Грачев
272;0;3864;Вишнякова
273;0;8288;Чихунова
274;0;8291;Чихунова
275;0;7682;Гладкая
276;0;871;Гладкая
277;0;8061;Гладкая
278;0;8590;Гладкая
